id,sku,name,category,brand,description,unit_price,cost,stock_quantity,is_active,created_at,supplier_id
26,APPL-10025,iPhone 16 Pro,Smartphones,Apple,The next generation of flagship innovation featuring an advanced camera system with improved computational photography and a high-refresh display. Powered by the latest Apple Silicon for seamless performance and enhanced privacy features.,1203.75,842.22,288,1,2022-04-14T06:05:17.578Z,25
27,SAMS-10026,Samsung Galaxy S25,Smartphones,Samsung,Samsung's mid-cycle refresh brings refined display technology and refined One UI experience to a sleek design. The triple camera setup provides versatile photography with improved night mode capabilities.,529.54,414.74,92,1,2023-09-04T07:17:20.445Z,22
28,GOOG-10027,Google Pixel 9,Smartphones,Google,Google's AI prowess shines through with enhanced Gemini integration and advanced computational photography features. Enjoy faster processing and improved battery efficiency on the premium 6.3-inch OLED display.,709.27,559.48,372,1,2022-03-08T08:23:03.583Z,21
29,XIAO-10028,Xiaomi 15,Smartphones,Xiaomi,Experience technological sophistication with the Xiaomi 15's premium build quality and powerful mid-range processor. The vibrant AMOLED display and versatile camera system make it an excellent all-rounder.,1133.06,862.28,422,1,2024-09-29T11:03:35.013Z,35
30,ONEP-10029,OnePlus 13,Smartphones,OnePlus,"Lightning-fast performance meets elegant minimalism in the OnePlus 13, featuring fluid OxygenOS and cutting-edge processor technology. Supports 150W ultra-fast charging for maximum convenience and productivity.",527.74,344.72,349,1,2024-02-29T14:07:35.708Z,1
31,VIVO-10030,Vivo V40,Smartphones,Vivo,Photography enthusiasts will appreciate the V40's gimbal-inspired camera stabilization and advanced image processing capabilities. The elegant design and premium materials reflect Vivo's commitment to refined aesthetics.,1288.33,784.56,40,0,2024-01-06T15:30:54.124Z,29
32,OPPO-10031,Oppo Find X8,Smartphones,Oppo,Next-generation flagship design with revolutionary camera innovations and ultra-smooth display technology for immersive viewing. The refined operating system ensures intuitive navigation and powerful multitasking capabilities.,752.48,435.29,9,0,2023-09-07T09:18:21.790Z,6
33,SONY-10032,Sony Xperia 5 VI,Smartphones,Sony,Compact flagship excellence tailored for creative professionals seeking advanced camera controls and color accuracy. The unique 21:9 aspect ratio display is perfect for video content creation and editing.,1085.22,750,24,1,2024-01-14T16:11:36.388Z,28
34,HUAW-10033,Huawei Mate 70,Smartphones,Huawei,Advanced smartphone technology combining elegant design with comprehensive feature set and innovative AI capabilities. The sophisticated camera system and powerful processor target premium users seeking alternatives.,260.93,162.62,162,1,2023-04-25T09:47:04.483Z,14
35,NOTH-10034,Nothing Phone 3,Smartphones,Nothing,The distinctive transparent Glyph design returns with enhanced notification features and more intuitive customization options. Mid-range performance meets quirky aesthetics for users who value design differentiation.,833.39,513.03,371,1,2024-08-21T20:10:08.791Z,38
36,MOTO-10035,Motorola ThinkPhone Pro,Smartphones,Motorola,Premium productivity-focused smartphone with enterprise features and near-stock Android experience for professionals. Durable build quality and reliable performance make it ideal for business users.,909.35,693.11,259,0,2021-12-21T10:33:17.240Z,19
37,HONO-10036,Honor 200 Pro,Smartphones,Honor,Photography-first design with advanced multi-lens imaging system and AI-enhanced scene recognition for professional-quality results. The elegant curved design and vibrant display deliver premium visual experience.,425.2,246.61,186,0,2024-12-18T07:05:03.914Z,15
38,ZTE-10037,ZTE Nubia 70 Ultra,Smartphones,ZTE,Innovation in imaging with Nubia's signature variable aperture technology and cutting-edge computational photography features. The high refresh rate display and powerful processor ensure exceptional gaming performance.,1211.8,963.41,76,1,2021-10-28T09:41:15.650Z,5
39,POCO-10038,Poco F7,Smartphones,Poco,Incredible performance-to-price ratio with flagship-level processor and high-refresh display at mid-range pricing. The substantial battery capacity and fast charging make it perfect for power users on a budget.,1089.48,611.28,407,1,2021-04-17T02:13:02.417Z,29
40,REAL-10039,Realme GT 7,Smartphones,Realme,Gaming powerhouse with industry-leading processor and dedicated GPU for uncompromised mobile gaming experience. The advanced cooling system ensures sustained performance during intensive sessions.,1061.53,719.52,65,1,2024-12-29T06:12:11.907Z,37
41,SAMS-10040,Samsung Galaxy Z Fold 6,Smartphones,Samsung,Revolutionary foldable technology with improved hinge durability and enhanced multitasking capabilities on the expansive internal display. Productive professionals will appreciate the tablet-like screen real estate in pocket form.,933.75,602.89,456,0,2024-02-07T19:13:26.030Z,39
42,APPL-10041,Apple iPhone 15 Plus,Smartphones,Apple,Extended battery life meets premium performance in this larger variant featuring the same powerful A16 Bionic chip and advanced camera system. Perfect for users prioritizing screen size and all-day endurance.,411.82,325.59,230,1,2022-08-31T07:32:51.501Z,14
43,GOOG-10042,Google Pixel 8a,Smartphones,Google,Accessible Google innovation with core Pixel photography features and reliable AI-powered computational capabilities. The compact size and affordable price point make it ideal for budget-conscious tech enthusiasts.,841.95,570.9,97,1,2022-02-05T02:26:51.036Z,40
44,INFI-10043,Infinix Zero 40,Smartphones,Infinix,Premium features at emerging market prices with 144Hz AMOLED display and capable mid-range processor. The sleek design and advanced camera system deliver impressive value for cost-conscious consumers.,462.56,306.96,326,1,2021-09-12T08:55:36.203Z,40
45,TECN-10044,Tecno Camon 30 Pro,Smartphones,Tecno,Photography innovations meet youthful design aesthetics in the Camon 30 Pro with advanced camera modes and AI enhancement. Stylish design and social media optimization features appeal to content creators.,1258.19,955.91,192,1,2022-03-10T00:00:32.671Z,40
46,OPPO-10045,Oppo A98,Smartphones,Oppo,Balanced mid-range offering with reliable processor and versatile camera system for everyday photography needs. The impressive battery capacity ensures uninterrupted daily usage.,418.47,270.61,463,1,2024-05-11T10:42:53.788Z,16
47,VIVO-10046,Vivo Y100,Smartphones,Vivo,Value-oriented smartphone with elegant design and functional camera setup suitable for mainstream users. The efficient processor and large battery provide dependable everyday performance.,1316.6,901.11,345,1,2022-05-09T04:29:52.490Z,3
48,XIAO-10047,Xiaomi Redmi Note 13,Smartphones,Xiaomi,Excellent budget-friendly alternative with AMOLED display and capable processor for casual to moderate usage. The generous storage options and practical feature set deliver outstanding value proposition.,617.46,479.94,119,0,2024-09-03T07:46:34.053Z,32
49,ONEP-10048,OnePlus Nord 4,Smartphones,OnePlus,Mid-range excellence with clean software experience and reliable mid-tier processor delivering smooth everyday performance. The fast charging capability and competent camera system appeal to value-conscious buyers.,387.53,277.56,252,1,2023-07-21T03:36:53.086Z,26
50,NOTH-10049,Nothing Phone 2,Smartphones,Nothing,Second-generation unique design philosophy with enhanced Glyph interaction and improved hardware specifications. The distinctive aesthetic continues to stand out among conventional smartphone designs.,1030.15,786.41,482,1,2024-05-05T00:39:33.999Z,25
51,SAMS-10050,Samsung Galaxy Z Flip 6,Smartphones,Samsung,Compact foldable innovation with a vibrant 6.7-inch main display and intuitive One UI optimized for vertical form factor. The improved crease-less design and powerful processor deliver premium folding phone experience.,858.01,636.08,153,1,2023-11-24T17:05:03.993Z,33
52,APPL-10051,Apple iPhone 16 Plus,Smartphones,Apple,Larger-format flagship with the latest A18 chip and advanced dual camera system for professional-grade mobile photography. Extended battery life and improved thermal management enhance everyday usability.,229.47,168.28,267,1,2021-06-27T06:24:54.046Z,18
53,GOOG-10052,Google Pixel Fold,Smartphones,Google,Google's first foldable smartphone combining Pixel's computational photography with a spacious 7.6-inch internal display for productivity. Advanced AI features make multitasking and content creation seamless.,1019.27,709.36,12,1,2022-11-24T06:38:55.043Z,36
54,XIAO-10053,Xiaomi 14 Pro,Smartphones,Xiaomi,High-performance flagship featuring Leica's latest camera tuning and ultra-fast display technology for responsive interaction. Premium materials and refined design appeal to discerning users.,1395.64,817.07,497,1,2024-12-18T04:11:51.643Z,20
55,ONEP-10054,OnePlus 12,Smartphones,OnePlus,Speed-focused flagship with industry-leading refresh rate and OnePlus's acclaimed OxygenOS customization layer. The combination of performance and smooth user experience sets it apart from competitors.,978.8,591.55,382,1,2023-06-21T22:45:47.719Z,19
56,OPPO-10055,Oppo Find N3 Fold,Smartphones,Oppo,Premium foldable design with innovative hinge mechanism and capacious internal display optimized for multimedia consumption. Advanced imaging system ensures exceptional photo quality in compact form factor.,328.25,227.63,313,0,2024-12-16T13:55:45.601Z,35
57,VIVO-10056,Vivo Fold 3,Smartphones,Vivo,Cutting-edge foldable technology with ultra-thin profile and immersive internal display for gaming and content creation. Revolutionary cooling solution maintains peak performance during extended use.,1357.57,873.28,185,1,2024-11-22T23:01:07.250Z,27
58,HONO-10057,Honor Magic V3,Smartphones,Honor,Breakthrough ultra-slim foldable design with premium materials and sophisticated AI-enhanced camera capabilities. The refined multitasking experience makes productivity on mobile exceptionally smooth.,648.67,496.7,246,1,2021-04-10T18:24:38.026Z,1
59,SONY-10058,Sony Xperia 1 VII,Smartphones,Sony,Professional imaging powerhouse featuring 4K 120fps video recording and cinema-grade color grading tools built into the OS. The thermal management system ensures sustained performance during creative work.,851.26,503.55,332,1,2022-04-11T10:24:25.841Z,35
60,MOTO-10059,Motorola Razr 50 Ultra,Smartphones,Motorola,Modern revival of iconic flip phone design combined with flagship specs and immersive external display. The nostalgic form factor delivers practical everyday functionality with contemporary technology.,954.52,753.18,276,1,2022-01-08T07:46:48.291Z,24
61,NOTH-10060,Nothing Phone 2 Pro,Smartphones,Nothing,Enhanced version of the original with more transparent elements and upgraded internal specifications for improved performance. The distinctive Glyph design continues to enable creative notification customization.,711.37,414.89,467,1,2021-02-28T14:02:17.664Z,40
62,ZTE-10061,ZTE Nubia Z70 Ultra,Smartphones,ZTE,Premium imaging smartphone with advanced variable aperture mechanics and professional-grade manual controls for photography enthusiasts. The high-fidelity audio system complements the exceptional display quality.,1386.34,990.91,493,1,2021-07-28T05:14:48.905Z,31
63,REAL-10062,Realme GT Master Edition,Smartphones,Realme,Design-focused flagship collaboration bringing premium aesthetics and dependable performance to the mid-flagship segment. The masterful craftsmanship and unique color options appeal to design-conscious consumers.,558.21,392.93,334,0,2022-08-05T13:53:14.249Z,24
64,POCO-10063,Poco F8 Pro,Smartphones,Poco,Performance beast at accessible pricing with flagship processor and immersive gaming display featuring premium refresh rates. Substantial cooling infrastructure ensures consistent performance during intensive gaming sessions.,1368.62,1011,259,1,2024-07-01T08:07:46.312Z,4
65,INFI-10064,Infinix Note 40 Pro+,Smartphones,Infinix,Feature-rich stylus-equipped smartphone delivering premium productivity for emerging markets at competitive pricing. The large display and powerful processor make it suitable for creative and professional tasks.,1318.85,994.23,289,1,2024-06-20T15:09:40.788Z,30
66,TECN-10065,Tecno Mega 5,Smartphones,Tecno,Ultra-large display phone with practical software optimizations and reliable performance for multimedia enthusiasts. The substantial battery capacity and versatile charging options ensure extended usage windows.,1346.61,876.64,166,1,2021-05-15T22:35:12.943Z,23
67,SAMS-10066,Samsung Galaxy A95,Smartphones,Samsung,Premium mid-range offering with refined design elements and AMOLED display delivering exceptional color accuracy. The capable processor and advanced computational photography deliver flagship-like photo quality.,550.13,337.24,145,1,2024-07-18T14:09:19.402Z,38
68,APPL-10067,Apple iPhone SE (4th Gen),Smartphones,Apple,"Budget-friendly Apple experience featuring the latest A-series chip and Single camera with computational photography magic. Compact size and traditional design appeal to users preferring smaller, more affordable devices.",557.32,363.78,396,1,2024-07-13T09:06:46.394Z,13
69,GOOG-10068,Google Pixel 9 Pro Fold,Smartphones,Google,Computational photography excellence meets innovative foldable form factor with Google's latest Gemini integration. The seamless software experience across folded and unfolded states defines multitasking versatility.,1393.49,890.19,478,1,2024-04-05T05:22:38.986Z,19
70,ONEP-10069,OnePlus Open 2,Smartphones,OnePlus,Second-generation foldable with refined build quality and ultra-responsive display technology for premium mobile productivity. The refined camera tuning and OxygenOS multitasking features enhance professional workflows.,982.6,565.19,283,1,2023-06-01T20:25:50.407Z,31
71,XIAO-10070,Xiaomi Mix Fold 4,Smartphones,Xiaomi,Advanced foldable innovation with industry-leading display brightness and Leica's camera expertise for exceptional folding phone imagery. The durable hinge mechanism and premium materials ensure longevity.,685.41,488.89,233,1,2021-11-16T06:34:05.840Z,23
72,OPPO-10071,Oppo A3 Pro,Smartphones,Oppo,Mid-range performer with impressive display technology and reliable processing power for balanced everyday use. The stylish design and practical camera system provide excellent value proposition.,275.16,190.26,20,1,2024-05-18T15:02:14.508Z,8
73,HUAW-10072,Huawei P70 Pro,Smartphones,Huawei,Premium smartphone engineering featuring advanced imaging technology and sophisticated design philosophy for discerning users. The innovative camera system delivers exceptional zoom and detail preservation.,282.22,168.13,134,1,2021-09-18T16:16:35.493Z,11
74,VIVO-10073,Vivo X90 Pro,Smartphones,Vivo,Photography excellence powered by advanced computational imaging and premium optical systems for professional-quality results. The sophisticated design language reflects Vivo's premium positioning in the market.,373.2,240.16,301,1,2024-04-07T14:22:36.539Z,21
75,MOTO-10074,Motorola Edge 50 Ultra,Smartphones,Motorola,Ultra-premium Motorola flagship with high-end processor and professional-grade imaging capabilities for enthusiasts. The near-stock Android experience paired with innovative software features delivers refined usability.,1039.35,748.19,128,0,2022-07-20T01:33:13.375Z,14
76,SAMS-10075,Samsung Galaxy S25 Ultra,Smartphones,Samsung,Ultra-premium flagship with S Pen integration and advanced multitasking capabilities on the expansive 6.8-inch AMOLED display. Exceptional low-light performance and AI-enhanced photography make it ideal for professional content creators.,329.9,202.61,176,1,2024-02-27T15:37:41.599Z,32
77,APPL-10076,Apple iPhone 16 Max,Smartphones,Apple,Maximum-sized flagship combining the powerful A18 Pro chip with an advanced quad-camera system for stunning detail and dynamic range. Exceptional computational photography features deliver professional-grade results in any lighting condition.,343.98,237.03,350,0,2021-07-23T07:27:20.834Z,4
78,GOOG-10077,Google Pixel 9 Pro XL,Smartphones,Google,Premium-sized Pixel phone showcasing Google's AI capabilities at their finest with advanced Magic Editor and real-time language translation. The superior night mode and voice recording transcription set new standards for software-powered photography.,1188.9,778.9,328,1,2022-06-29T19:26:08.024Z,3
79,XIAO-10078,Xiaomi Mix Fold 5,Smartphones,Xiaomi,Latest-generation foldable combining cutting-edge display technology with Leica-tuned triple camera system for exceptional mobile imaging. The refined hinge design and premium materials deliver durability with sophisticated aesthetics.,1220.14,936.98,183,1,2024-01-04T22:58:17.614Z,6
80,ONEP-10079,OnePlus 13 Pro,Smartphones,OnePlus,Professional-tier flagship featuring 150W fast charging and ultra-responsive 120Hz display with premium color accuracy. The optimized thermal architecture ensures consistent peak performance during demanding applications.,1199.64,683.36,123,1,2021-05-01T20:53:33.593Z,6
81,VIVO-10080,Vivo X100 Ultra,Smartphones,Vivo,Premium imaging flagship with advanced portrait photography system and industry-leading stabilization technology for cinematic video capture. The refined curved design and premium materials exemplify Vivo's flagship craftsmanship.,429.01,305.65,190,1,2021-02-11T13:39:03.265Z,31
82,OPPO-10081,Oppo Find X8 Pro,Smartphones,Oppo,Flagship photography phone with revolutionary periscope camera system and advanced computational imaging for professional-grade results. The innovative design and premium display deliver exceptional multimedia experiences.,291.26,182.4,56,1,2022-09-24T13:36:55.173Z,15
83,HONO-10082,Honor 300,Smartphones,Honor,Latest flagship combining elegant design with powerful AI capabilities and advanced triple-lens imaging system. The refined user interface and comprehensive feature set deliver premium smartphone experience without compromise.,1364.64,820.15,273,1,2023-03-12T16:12:35.516Z,19
84,SONY-10083,Sony Xperia Pro-I II,Smartphones,Sony,Professional-grade smartphone featuring 4K video recording with advanced color science and cinema-grade controls for creative professionals. The unique 21:9 display format optimizes for video editing and media creation workflows.,1251.01,773.83,66,1,2024-11-10T14:25:56.160Z,23
85,MOTO-10084,Motorola Edge 60 Pro,Smartphones,Motorola,Premium productivity smartphone with near-stock Android and powerful enterprise features for business professionals. The reliable performance and practical design make it ideal for users prioritizing work efficiency over gaming.,940.93,560.2,444,1,2023-09-16T19:10:02.237Z,25
86,HUAW-10085,Huawei Mate 70 Pro,Smartphones,Huawei,Premium flagship with innovative satellite communication capabilities and advanced photography system for professional users. The sophisticated design and comprehensive feature set position it as a top-tier alternative platform.,465.89,339.2,163,1,2021-05-26T04:17:26.772Z,29
87,NOTH-10086,Nothing Phone 3a,Smartphones,Nothing,Accessible entry into the Nothing ecosystem with distinctive Glyph interface and solid mid-range performance for mainstream users. The transparent design elements and customizable notifications provide unique visual differentiation.,1375.8,889.41,98,1,2021-07-06T06:20:23.903Z,27
88,POCO-10087,Poco X8 Pro,Smartphones,Poco,High-performance gaming phone with flagship processor and dedicated GPU delivering exceptional gaming fluidity and thermal management. The aggressive pricing on premium specs makes it unbeatable for budget-conscious power users.,429.76,308.93,298,1,2022-07-15T00:29:29.705Z,38
89,REAL-10088,Realme GT 8,Smartphones,Realme,Next-generation gaming flagship with industry-leading display technology and advanced cooling architecture for sustained performance. The powerful processor and premium display deliver gaming experiences rivaling dedicated gaming devices.,599.34,371.95,129,1,2023-08-13T14:38:16.991Z,32
90,INFI-10089,Infinix Zero 50,Smartphones,Infinix,Premium mid-range smartphone combining flagship features with emerging market pricing for maximum value proposition. The impressive camera system and high-refresh AMOLED display deliver surprising quality at competitive cost.,1221.95,846.99,408,1,2023-02-10T07:47:16.550Z,18
91,DELL-10090,Dell XPS 15 Plus,Laptops,Dell,"A premium 15-inch laptop featuring an OLED touchscreen, Intel Core i7 processor, and sleek aluminum chassis for creative professionals. Delivers exceptional performance and portability with Thunderbolt 4 connectivity.",2019.49,1284.11,410,1,2023-09-17T11:11:24.122Z,7
92,APPL-10091,Apple MacBook Pro 16-inch M3 Max,Laptops,Apple,"Featuring the powerful M3 Max chip with up to 12-core CPU, this MacBook Pro combines performance with stunning Retina display technology. Ideal for video editing, 3D rendering, and demanding professional workflows.",1684.9,1227.04,334,1,2022-06-16T10:18:26.954Z,6
93,LENO-10092,Lenovo ThinkPad X1 Carbon Gen 11,Laptops,Lenovo,"A lightweight business ultrabook with Intel Core i7, military-grade durability, and exceptional keyboard for professional productivity. Offers up to 21 hours of battery life for all-day work.",570.71,449.39,189,1,2021-02-04T04:35:07.391Z,12
94,ASUS-10093,ASUS ROG Zephyrus G14,Laptops,ASUS,"A compact gaming powerhouse with RTX 4090 graphics, Intel Core i9, and 14-inch 120Hz display for ultracompetitive gaming. Features advanced cooling and weighs just 3.6 lbs for gaming on the go.",681.55,419.3,255,1,2022-08-20T07:04:42.618Z,19
95,HP-10094,HP Spectre x360 14,Laptops,HP,"A convertible 2-in-1 laptop with Intel Core i7, OLED display, and stylus support for creative work. Premium build quality and all-day battery make it perfect for business and entertainment.",2256.81,1446.49,221,1,2021-05-20T18:10:14.868Z,20
96,MICR-10095,Microsoft Surface Laptop Studio,Laptops,Microsoft,"Designed for creative professionals with RTX 3080 Ti graphics, touchscreen display, and premium build quality. Features unique cooling design and dual Thunderbolt 4 ports.",860.37,635.64,489,1,2023-01-01T23:57:59.066Z,7
97,RAZE-10096,Razer Book 13,Laptops,Razer,"A sleek ultrabook with Intel Core i7, touchscreen, and Razer's signature design language for content creators. Delivers professional performance in a compact 13-inch form factor.",2712.82,2050.29,110,1,2024-08-16T05:15:05.880Z,17
98,SAMS-10097,Samsung Galaxy Book Pro 360,Laptops,Samsung,A convertible AMOLED laptop with Intel Core i7 and 360-degree hinge for versatile content creation and viewing. Exceptional display quality and lightweight design enhance portability.,2800.35,1677.75,379,1,2022-04-20T05:41:10.152Z,10
99,MSI-10098,MSI Stealth 15 Studio Ultra,Laptops,MSI,"A gaming-focused workstation with RTX 4080 Super, Intel Core i9, and mini-LED display for both gaming and professional rendering. Ultra-slim design doesn't compromise on power.",2142.87,1509.81,182,1,2023-05-07T00:12:35.639Z,12
100,ACER-10099,Acer Swift 5 SF515,Laptops,Acer,An ultra-lightweight aluminum laptop under 3 pounds featuring Intel Core i7 and 11-hour battery life for mobile professionals. Combines portability with solid everyday performance.,2040.97,1160.56,213,0,2024-02-04T19:57:35.894Z,17
101,FRAM-10100,Framework Laptop DIY Edition,Laptops,Framework,"A repairable and upgradeable laptop with modular components, Intel Core i7, and expandable I/O ports. Perfect for tech enthusiasts who want customization and sustainability.",462.12,276.9,4,1,2022-04-06T00:17:32.952Z,33
102,GIGA-10101,Gigabyte AORUS 17X,Laptops,Gigabyte,"A high-refresh gaming laptop with RTX 4090, Intel Core i9, and 17.3-inch 360Hz IPS display for competitive esports. Extreme performance for demanding gamers.",409.35,293.75,90,1,2022-01-30T21:32:34.455Z,40
103,LG-10102,LG Gram 16,Laptops,LG,The lightest 16-inch laptop at just 2.6 pounds with Intel Core i7 and 80Wh battery for extended work sessions. WUXGA+ display and premium magnesium construction ensure durability.,687.72,387.12,94,1,2021-09-25T19:44:46.784Z,21
104,ASUS-10103,Asus ProArt StudioBook 16 OLED,Laptops,ASUS,"A professional creator laptop with NVIDIA RTX 6000 Ada, 16-inch OLED Pantone-certified display, and 32GB VRAM standard. Engineered for color-critical video and image work.",1229.13,936.76,179,1,2024-08-07T06:10:51.092Z,28
